Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Actual,1988 Q2,5.4,9.5,4.2,8.9,5.5,4.7,6.2,8.5,9.0,,10.4,8.8,2729.7,66.9,106.1,
Actual,1988 Q3,2.4,7.3,3.9,9.1,5.5,5.0,7.0,8.8,9.2,,10.5,9.7,2706.7,68.8,106.4,
Actual,1988 Q4,5.4,9.1,3.8,8.1,5.3,4.4,7.7,8.8,9.0,10.3,10.4,10.2,2738.4,70.5,106.6,
Actual,1989 Q1,4.1,8.5,4.6,9.5,5.2,4.6,8.5,9.4,9.3,10.5,10.8,11.0,2915.1,72.1,107.6,
Actual,1989 Q2,3.1,7.6,-1.2,4.3,5.2,6.6,8.4,8.9,8.9,10.3,10.6,11.4,3137.0,73.1,108.6,
Actual,1989 Q3,3.0,6.0,2.7,5.1,5.2,3.2,7.8,8.1,8.2,9.8,10.0,10.7,3426.7,74.1,109.0,
Actual,1989 Q4,0.8,3.7,3.4,6.7,5.4,4.1,7.7,8.0,8.0,9.8,9.8,10.5,3419.9,75.2,109.4,
Actual,1990 Q1,4.4,9.0,3.1,9.2,5.3,7.1,7.8,8.5,8.5,10.4,10.1,10.0,3273.5,76.0,108.4,27.3
Actual,1990 Q2,1.5,6.1,2.8,6.6,5.3,4.0,7.7,8.7,8.8,10.7,10.3,10.0,3424.4,76.1,107.5,24.2
Actual,1990 Q3,0.3,3.7,-0.1,5.0,5.7,7.1,7.5,8.5,8.8,10.6,10.1,10.0,2879.3,75.9,107.0,36.5
Actual,1990 Q4,-3.6,-0.7,-3.4,1.8,6.1,7.0,7.0,8.1,8.5,10.9,10.0,10.0,3101.4,75.5,106.6,34.0
Actual,1991 Q1,-1.9,2.0,1.0,3.1,6.6,3.0,6.0,7.7,8.2,10.4,9.5,9.2,3583.7,75.1,105.6,36.2
Actual,1991 Q2,3.2,6.2,2.9,5.2,6.8,2.4,5.6,7.8,8.3,10.1,9.5,8.7,3545.5,75.3,104.6,20.1
Actual,1991 Q3,2.0,5.3,1.6,4.4,6.9,3.1,5.4,7.5,8.1,9.8,9.3,8.4,3744.0,75.3,101.0,21.2
Actual,1991 Q4,1.4,3.8,3.4,6.4,7.1,3.4,4.5,6.7,7.5,9.2,8.7,7.6,4041.1,75.1,97.6,21.9
Actual,1992 Q1,4.9,6.4,8.3,11.0,7.4,2.7,3.9,6.7,7.5,8.9,8.7,6.5,3961.6,75.2,95.4,19.8
Actual,1992 Q2,4.4,6.9,4.0,6.8,7.6,3.1,3.7,6.7,7.5,8.6,8.7,6.5,3930.3,75.1,93.2,20.2
Actual,1992 Q3,4.0,6.1,1.9,4.5,7.6,3.1,3.1,5.7,6.9,7.9,8.0,6.0,4024.4,75.0,90.7,16.2
Actual,1992 Q4,4.2,7.1,1.8,4.7,7.4,3.6,3.1,6.0,7.0,8.1,8.2,6.0,4289.7,75.2,88.3,21.0
Actual,1993 Q1,0.7,2.9,1.5,3.9,7.1,2.9,3.0,5.5,6.5,7.7,7.7,6.0,4444.3,75.4,87.4,16.2
Actual,1993 Q2,2.3,4.8,1.3,4.0,7.1,2.9,3.0,5.2,6.2,7.2,7.5,6.0,4449.6,75.7,86.5,15.3
Actual,1993 Q3,1.9,4.4,0.3,2.1,6.8,1.9,3.0,5.0,5.8,6.8,7.1,6.0,4601.8,76.3,86.4,17.3
Actual,1993 Q4,5.6,7.9,2.8,5.2,6.6,3.4,3.1,5.0,5.8,6.7,7.0,6.0,4657.8,76.9,86.4,15.9
Actual,1994 Q1,3.9,5.9,2.7,4.1,6.6,2.0,3.3,5.5,6.2,7.1,7.3,6.0,4457.7,77.3,87.4,20.5
Actual,1994 Q2,5.5,7.6,4.1,6.4,6.2,2.3,4.0,6.7,7.2,8.2,8.4,6.9,4395.2,77.7,88.4,23.9
Actual,1994 Q3,2.4,4.7,2.3,5.3,6.0,3.8,4.5,6.9,7.4,8.4,8.6,7.5,4605.8,78.0,89.3,14.9
Actual,1994 Q4,4.7,7.0,5.9,7.9,5.6,2.3,5.3,7.6,7.9,8.9,9.1,8.1,4540.6,78.4,90.4,18.4
Actual,1995 Q1,1.4,3.6,3.5,5.5,5.5,3.0,5.7,7.4,7.6,8.6,8.8,8.8,4920.4,78.7,90.6,14.3
Actual,1995 Q2,1.2,3.2,1.1,3.5,5.7,3.3,5.6,6.4,6.7,7.7,7.9,9.0,5348.8,79.2,90.5,13.5
Actual,1995 Q3,3.4,5.5,3.7,5.4,5.7,2.0,5.4,6.1,6.5,7.4,7.7,8.8,5806.6,79.8,91.2,13.8
Actual,1995 Q4,2.7,4.7,2.4,4.2,5.6,2.2,5.3,5.7,6.0,7.0,7.3,8.7,6057.2,80.3,92.1,15.7
Actual,1996 Q1,3.0,5.0,3.8,6.2,5.5,3.6,4.9,5.6,6.0,6.9,7.3,8.3,6365.9,81.0,92.5,20.7
Actual,1996 Q2,6.8,8.6,3.7,6.5,5.5,3.5,5.0,6.5,6.8,7.7,8.1,8.3,6612.8,81.5,92.0,20.2
Actual,1996 Q3,3.6,5.0,3.3,5.1,5.3,2.3,5.1,6.5,6.8,7.7,8.1,8.3,6765.7,82.0,91.7,21.6
Actual,1996 Q4,4.2,6.5,2.1,5.0,5.3,3.5,5.0,6.1,6.4,7.2,7.7,8.3,7198.3,82.5,93.5,22.0
Actual,1997 Q1,2.6,5.1,3.9,5.7,5.2,2.5,5.1,6.4,6.6,7.4,7.8,8.3,7213.5,83.2,103.7,22.1
Actual,1997 Q2,6.8,7.7,3.6,4.6,5.0,0.9,5.0,6.6,6.8,7.5,7.9,8.5,8396.9,84.0,103.8,21.8
Actual,1997 Q3,5.1,6.9,4.8,5.9,4.9,2.0,5.0,6.1,6.4,7.1,7.5,8.5,9180.2,85.0,107.4,26.0
Actual,1997 Q4,3.5,4.8,6.0,7.4,4.7,2.2,5.1,5.9,6.0,6.9,7.2,8.5,9298.2,86.3,113.7,38.2
Actual,1998 Q1,4.1,4.7,8.7,8.7,4.6,0.8,5.1,5.6,5.7,6.7,7.1,8.5,10494.7,87.9,122.0,28.7
Actual,1998 Q2,3.8,4.7,5.6,6.4,4.4,1.3,5.0,5.6,5.8,6.7,7.1,8.5,10663.6,89.2,120.9,26.1
Actual,1998 Q3,5.1,6.9,4.1,5.4,4.5,2.1,4.8,5.2,5.4,6.8,6.9,8.5,9346.8,90.8,125.4,45.3
Actual,1998 Q4,6.6,7.8,3.2,4.3,4.4,1.9,4.3,4.6,4.9,6.8,6.8,7.9,11317.6,92.5,127.3,45.7
Actual,1999 Q1,3.8,5.2,4.4,5.3,4.3,1.5,4.4,5.0,5.4,6.9,6.9,7.8,11707.7,94.0,124.9,33.0
Actual,1999 Q2,3.4,5.0,0.5,2.8,4.3,3.0,4.5,5.5,5.8,7.3,7.2,7.8,12583.6,95.8,121.9,28.9
Actual,1999 Q3,5.4,6.9,3.1,5.4,4.2,3.0,4.7,5.9,6.2,7.8,7.8,8.1,11713.8,97.7,127.5,28.5
Actual,1999 Q4,6.7,9.1,5.5,8.0,4.1,3.0,5.0,6.1,6.5,8.0,7.8,8.4,13812.7,99.7,130.5,28.8
Actual,2000 Q1,1.5,4.2,7.2,10.7,4.0,4.0,5.5,6.6,6.7,8.3,8.3,8.7,14296.2,102.3,127.8,27.0
Actual,2000 Q2,7.5,10.2,4.9,6.9,3.9,3.2,5.7,6.5,6.4,8.6,8.3,9.2,13618.5,104.9,126.6,33.5
Actual,2000 Q3,0.4,2.8,5.3,8.0,4.0,3.7,6.0,6.1,6.1,8.2,8.0,9.5,13613.3,107.2,139.9,21.9
Actual,2000 Q4,2.4,4.6,2.5,4.9,3.9,2.9,6.0,5.6,5.8,8.0,7.6,9.5,12175.9,109.6,144.5,31.7
Actual,2001 Q1,-1.3,1.3,3.3,6.4,4.2,3.9,4.8,4.9,5.3,7.5,7.0,8.6,10645.9,112.2,143.8,32.8
Actual,2001 Q2,2.5,5.0,-1.0,0.8,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407.2,114.2,143.1,34.7
Actual,2001 Q3,-1.6,0.0,9.0,9.2,4.8,1.1,3.2,4.6,5.3,7.2,7.0,6.6,9563.0,116.3,145.1,43.7
Actual,2001 Q4,1.1,2.4,-6.5,-6.3,5.5,-0.3,1.9,4.2,5.1,7.1,6.8,5.2,10707.7,118.3,139.9,35.3
Actual,2002 Q1,3.4,4.7,9.7,10.6,5.7,1.3,1.7,4.5,5.4,7.4,7.0,4.8,10775.7,120.4,140.1,26.1
Actual,2002 Q2,2.5,3.9,3.3,6.4,5.8,3.2,1.7,4.5,5.4,7.5,6.8,4.8,9384.0,123.6,140.7,28.4
Actual,2002 Q3,1.6,3.6,0.6,2.7,5.7,2.2,1.6,3.4,4.5,7.2,6.3,4.8,7773.6,126.6,142.2,45.1
Actual,2002 Q4,0.5,2.8,2.6,4.5,5.9,2.4,1.3,3.1,4.3,6.9,6.1,4.5,8343.2,129.3,145.8,42.6
Actual,2003 Q1,2.1,4.1,-0.2,2.9,5.9,4.2,1.2,2.9,4.2,6.2,5.8,4.3,8051.9,131.9,153.2,34.7
